year,name,price,mileage,location,link
2017,Yamaha fz,$6500,16000,"Williamston, SC",https://www.facebook.com/marketplace/item/600218121470083/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2009,Yamaha fz6,$3750,12000,"Simpsonville, SC",https://www.facebook.com/marketplace/item/423772583080871/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2008,Yamaha yzf,$6000,33000,"Westminster, SC",https://www.facebook.com/marketplace/item/5345418605577935/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2016,Yamaha yzf,$2500,12000,"Anderson, SC",https://www.facebook.com/marketplace/item/829080908252242/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2003,Yamaha yzf-r,$3900,13000,"Hendersonville, NC",https://www.facebook.com/marketplace/item/670072757297266/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2004,Yamaha yzf-r1,$5100,35000,"Piedmont, SC",https://www.facebook.com/marketplace/item/1106265983630023/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2006,Yamaha yzf-r1,$1900,15000,"Union, SC",https://www.facebook.com/marketplace/item/380837280747632/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2021,Yamaha yzf-r1,$4600,10000,"Inman, SC",https://www.facebook.com/marketplace/item/497628121749536/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2021,Yamaha yzf-r1,$6900,11000,"Greenville, SC",https://www.facebook.com/marketplace/item/451498617035159/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
2005,Yamaha yzfr,$5000,31000,"Hendersonville, NC",https://www.facebook.com/marketplace/item/8255624567788941/?hoisted=3Dfalse&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&__tn__=3D!%3AD
