year,name,price,mileage,location,link
1993,Yamaha f1zr,$900,27000,"Dudley, MA",https://www.facebook.com/marketplace/item/1059461791588836/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
1998,Yamaha fz,$2000,10000,"Worcester, MA",https://www.facebook.com/marketplace/item/430423519018807/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2009,Yamaha fz,$1000,18000,"Norwood, MA",https://www.facebook.com/marketplace/item/515485866854654/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2023,Yamaha jog,$1800,123000,"Peabody, MA",https://www.facebook.com/marketplace/item/478938873643323/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2007,Yamaha r6,$123,N/A,"Everett, MA",https://www.facebook.com/marketplace/item/324965986482522/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2011,Yamaha r6,$800,Dealership,"Providence, RI",https://www.facebook.com/marketplace/item/5357920394314815/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
1993,Yamaha xj6,$855,16000,"Schenectady, NY",https://www.facebook.com/marketplace/item/572389431289629/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
2011,Yamaha yz r6 sportbike,$800,Dealership,"Boston, MA",https://www.facebook.com/marketplace/item/377672717781364/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
1996,Yamaha yzf,$800,30000,"Topsham, ME",https://www.facebook.com/marketplace/item/7973559249381890/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
1999,Yamaha yzf,$1300,22000,"Old Forge, PA",https://www.facebook.com/marketplace/item/397778219136585/?hoisted=3Dtrue&ref=3Dsearch&referral_code=3Dnull&referral_story_type=3Dpost&tracking=3Dbrowse_serp%3Ab5dfe780-fb0f-4831-a507-4bd022a8e404&__tn__=3D!%3AD
